[2021-12-10 21:04:15] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:04:24] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:04:24] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:04:24] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:04:24] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:05:05] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:05:05] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:05:05] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:05:35] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:05:35] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:05:35] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 21:05:36] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
